type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoVarchar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,farmacias_smde.89,Point,-68.13303227,-16.50081922,geom,Farmacia Bolivia,Av. 16 de Julio # 1473,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:03:07.420Z,,
Feature,farmacias_smde.90,Point,-68.1347953,-16.49896041,geom,Farmacia Bolivia,Av. Mariscal Santa Cruz No. 1271,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,1,,nhuanquiri,2016-06-22T16:02:36.317Z,,
Feature,farmacias_smde.91,Point,-68.12110445,-16.50477918,geom,Farmacia Bolivia,C. Eduardo # 2119 Esq. Saavedra,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:03:48.477Z,,
Feature,farmacias_smde.92,Point,-68.14987595,-16.49098618,geom,Global Pharma,C. Virrey Toledo # 1295,VILLA VICTORIA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-13T21:04:06.637Z,,
Feature,farmacias_smde.93,Point,-68.14098676,-16.50356002,geom,Farmacia Farmaplus E&E,C. Venancio Burgoa # 785,SAN PEDRO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,0,,gustavo.nao,2016-06-13T21:04:28.713Z,,
Feature,farmacias_smde.94,Point,-68.12613519,-16.51032695,geom,Corporación Boliviana de Farmacias S.A.,Av. 20 de Octubre # 2473,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:04:45.260Z,,
Feature,farmacias_smde.95,Point,-68.12948642,-16.50923049,geom,Corporación Boliviana de Farmacias S.A.,C. Fernando Guachalla # 521,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:05:13.300Z,,
Feature,farmacias_smde.96,,,,geom,Corporación Boliviana de Farmacias S.A.,Av. Mariscal Santa Cruz # 1050,ROSARIO(COTAHUMA),Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,,,,,,
Feature,farmacias_smde.97,,,,geom,Esbafox S.R.L. Importación y Exportación,C. José Cardón # 10,SOPOCACHI,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,COTAHUMA,DISTRITO 3,,,,,,
Feature,farmacias_smde.98,Point,-68.13142911,-16.50453733,geom,Corporación Boliviana de Farmacias S.A.,Av. Landaeta # 221,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:05:32.370Z,,
Feature,farmacias_smde.99,,,,geom,Corporación Boliviana de Farmacias S.A.,Av. Mariscal Santa Cruz # 1324,SAN PEDRO BAJO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,,,,,,
Feature,farmacias_smde.100,,,,geom,Corporación Boliviana de Farmacias S.A.,Av. 6 de Agosto # 2002,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,,,,,,
Feature,farmacias_smde.101,Point,-68.12345737,-16.49846099,geom,Farmacia Progreso,C. Pasos Kanki # 1184,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:06:46.683Z,,
Feature,farmacias_smde.102,,,,geom,Farmacia Hispana,C. Yanacocha # 311,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.103,,,,geom,Farmacia Jesús Salvador,Av. Costanera # 500,4to CENTENARIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 17,,,,,,
Feature,farmacias_smde.104,Point,-68.12132062,-16.47949958,geom,Farmacia Bolivia,Av. las Delicias # 1351 Esq. C. Antezana,VILLA FATIMA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-13T21:07:48.303Z,,
Feature,farmacias_smde.105,,,,geom,Farmacia Porvenir,C. Federico Zuazo # 1508,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.106,,,,geom,Rosati Importaciones,C. Rodrigo de Mejía # 1936,MIRAFLORES,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,CENTRO,DISTRITO 2,,,,,,
Feature,farmacias_smde.107,Point,-68.12379904,-16.50208496,geom,Fendermed,C. Rodrigo de Mejía # 1936,MIRAFLORES,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:08:27.930Z,,
Feature,farmacias_smde.108,,,,geom,Bioser S.R.L.,C. Lucas Jaimes # 1711,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,,,,,,
Feature,farmacias_smde.109,Point,-68.12868321,-16.49743934,geom,Farmacia Bolivia,C. Yungas # 876,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:08:49.940Z,,
Feature,farmacias_smde.110,Point,-68.1227689,-16.511063,geom,Farmacia Unifar,Av. Arce # 2630,SAN JORGE,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:09:04.420Z,,
Feature,farmacias_smde.111,Point,-68.13715097,-16.51026992,geom,Farmacia Bolivia,Av. Landaeta # 836,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:09:19.287Z,,
Feature,farmacias_smde.112,Point,-68.12769612,-16.49761546,geom,Farmacia Uru's,C. Casimiro Corrales # 1020,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:09:41.790Z,,
Feature,farmacias_smde.113,Point,-68.14180405,-16.48791826,geom,Farmacia Rivera,C. Larecaja # 141,CHALLAPAMPA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T21:10:06.660Z,,
Feature,farmacias_smde.114,Point,-68.12237732,-16.51105519,geom,Farmacia Bolivia,Av. Arce # 2631 - Multicine,SOPOCACHI (CENTRO),Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:11:03.087Z,,
Feature,farmacias_smde.115,Point,-68.1541445,-16.49855543,geom,Farmacia Agua de Vida,C. Hugo Reck # 1489,EL TEJAR,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-13T21:11:24.807Z,,
Feature,farmacias_smde.116,,,,geom,Farmacia Fenix,Av. Mariscal Santa Cruz # 893,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.117,,,,geom,Farmacia Angelitos,C. Josefa Mujia # 2000,VILLA SAN ANTONIO ALTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SAN ANTONIO,DISTRITO 15,,,,,,
Feature,farmacias_smde.118,,,,geom,Farmacia Bolognia,Av. Ciudad del Niño Esq. C. 5 # 1,PAMPAHASI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 16,,,,,,
Feature,farmacias_smde.119,,,,geom,Den Jhonson,C. Reyes Cardona # 771,EL TEJAR,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 8,,,,,,
Feature,farmacias_smde.120,Point,-68.08910317,-16.54075565,geom,Venta de productos Farmacéuticos,C. 10 Hermanos Ariñez Esq. Av. Ballivián,CALACOTO,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",SUR,DISTRITO 19,0,,gustavo.nao,2016-06-13T21:12:32.740Z,,
Feature,farmacias_smde.121,,,,geom,Venta de productos Farmacéuticos,Av. Ballivián,CALACOTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,,,,,,
Feature,farmacias_smde.122,,,,geom,Farmacia Raphael,C. Claudio Sanjinés # 1590,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,,,,,,
Feature,farmacias_smde.123,Point,-68.13318827,-16.48625573,geom,Farmacia Ryana,Av. Juan José Torrez Gonzales # 215,VILLA DE LA CRUZ,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T21:28:46.080Z,,
Feature,farmacias_smde.124,Point,-68.13301544,-16.50698248,geom,Farmacia Señor de la Cruz Milagroso,C. Landaeta # 533,SOPOCACHI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:30:03.663Z,,
Feature,farmacias_smde.125,Point,-68.14417103,-16.48255598,geom,Farmacia Filadelfia,Av. La Zarzuela # 567,VINO TINTO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T21:30:35.307Z,,
Feature,farmacias_smde.126,Point,-68.1375846,-16.50646039,geom,Farmacia Santa Cecilia de La Paz,C. Otero de la Vega # 1604,SAN PEDRO BAJO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,0,,gustavo.nao,2016-06-13T21:36:51.990Z,,
Feature,farmacias_smde.127,Point,-68.07437401,-16.54525515,geom,Farmacia del Sur,Av. José Aguirre Achá # 502,LOS PINOS,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,0,,gustavo.nao,2016-06-13T21:39:40.890Z,,
Feature,farmacias_smde.128,Point,-68.12443878,-16.48742971,geom,Farmacia Terra,C. Tejada Sorzano # 855,MIRAFLORES ALTO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:39:57.603Z,,
Feature,farmacias_smde.129,Point,-68.13394698,-16.51626676,geom,Farmacia,Av. Agustín Ugarte # 52,SOPOCACHI ALTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:40:48.103Z,,
Feature,farmacias_smde.130,Point,-68.14696965,-16.49577062,geom,Farmacia Noé,Av. Baptista # 915,14 DE SEPTIEMBRE,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-13T21:41:13.070Z,,
Feature,farmacias_smde.131,,,,geom,Farmacia la Glorieta,C. Otero de la Vega # 450,SAN PEDRO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 6,,,,,,
Feature,farmacias_smde.132,,,,geom,Farmacia Mariana de Jesús,C. Sebastián Segurola # 723,GRAN PODER,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 7,,,,,,
Feature,farmacias_smde.133,Point,-68.15250704,-16.49159766,geom,Farmacia el Buen Pastor,Av. República # 1507,VILLA VICTORIA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-13T21:41:48.723Z,,
Feature,farmacias_smde.134,Point,-68.12906779,-16.50497007,geom,Farmacia Luz,C. Zapata # 141,SAN JORGE,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:42:55.527Z,,
Feature,farmacias_smde.135,Point,-68.12209447,-16.5015807,geom,Farmacia Calacoto,C. Díaz Romero # 1350,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:46:10.760Z,,
Feature,farmacias_smde.136,Point,-68.13928157,-16.4963348,geom,Farmacia K & L,C. Santa Cruz # 399,ROSARIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T21:46:28.217Z,,
Feature,farmacias_smde.137,Point,-68.14850735,-16.50620598,geom,Farmacia Cesar´s,C. Luciano Alcoreza # 1370,V NUEVO  POTOSI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 5,0,,gustavo.nao,2016-06-13T21:46:55Z,,
Feature,farmacias_smde.138,Point,-68.11908295,-16.49738519,geom,Farmacia Arcangel,Av. Pasos Kanki # 1619,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T21:48:01.223Z,,
Feature,farmacias_smde.139,Point,-68.08062847,-16.53865825,geom,Farmacias Gloria,Av. Ballivián # 1175,CALACOTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,0,,gustavo.nao,2016-06-13T21:48:21.983Z,,
Feature,farmacias_smde.140,Point,-68.15046616,-16.50785949,geom,Farmacia José Manuel,C. Luciano Alcoreza # 1529,VILLA NUEVO POTOSI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 5,0,,gustavo.nao,2016-06-13T21:48:54.117Z,,
Feature,farmacias_smde.141,Point,-68.12804438,-16.50743602,geom,Farmacia Santa Ana,Av. 6 de Agosto # 2190,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:49:13.410Z,,
Feature,farmacias_smde.142,,,,geom,Farmacia Prisval,C. Mururata # 1253,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.143,Point,-68.14594541,-16.52249816,geom,Farmacia Nuestra Señora de Candelaria,Av. M. Quiroga Santa Cruz # 1926,PASANKERI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 4,0,,gustavo.nao,2016-06-13T21:49:38.950Z,,
Feature,farmacias_smde.144,Point,-68.12881798,-16.51352649,geom,Farmacia Gloria,Av. Eduardo # 2612,SOPOCACHI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 3,0,,gustavo.nao,2016-06-13T21:49:59.287Z,,
Feature,farmacias_smde.145,Point,-68.13598993,-16.50171229,geom,Farmacia Gloria,C. Almirante Grau # 349,SAN PEDRO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,0,,gustavo.nao,2016-06-13T22:02:49.803Z,,
Feature,farmacias_smde.146,Point,-68.12840004,-16.48001519,geom,San Bartolomé,Av. Juan José Torrez # 250,CUPILUPACA,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",PERIFERICA,DISTRITO 12,0,,gustavo.nao,2016-06-13T22:03:18.847Z,,
Feature,farmacias_smde.147,,,,geom,Farmacia Arvin,Av. Periférica # 498,VILLA LA MERCED,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.148,,,,geom,Farmacia Las Américas,Av. las Américas # 489,VILLA FATIMA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.149,Point,-68.14412347,-16.51341876,geom,Farmacia Cindy,Av. Buenos Aires # 1882,TEMBLADERANI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 4,0,,gustavo.nao,2016-06-13T22:04:29.230Z,,
Feature,farmacias_smde.150,,,,geom,Farmacia Bolívar,C. Ballivián # 1211,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.151,Point,-68.1331613,-16.50146891,geom,Farmacia Única,Av. 16 de Julio # 1490,SAN PEDRO BAJO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,6,,nhuanquiri,2016-06-22T16:05:57.523Z,16 DE JULIO No. 1490,
Feature,farmacias_smde.152,Point,-68.11458712,-16.46883264,geom,Farmacia Bernardo,Av. Ramiro Castillo # 1000,VILLA EL CARMEN,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-13T22:05:12.440Z,,
Feature,farmacias_smde.153,Point,-68.14012347,-16.48077892,geom,Farmacia Galicia I,Av. Baltazar de Salas # 930,VINO TINTO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T22:05:38.120Z,,
Feature,farmacias_smde.154,,,,geom,Corporación Boliviana de Farmacias S.A.,Av. 31 de Octubre # 1513,VILLA SAN ANTONIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 15,,,,,,
Feature,farmacias_smde.155,Point,-68.12290517,-16.4911177,geom,Farmacia Jackeline,C. Haití # 1226,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-13T22:06:04.270Z,,
Feature,farmacias_smde.156,Point,-68.136709,-16.49404423,geom,Farmacia Niño Jesús Nazareno,Av. Montes # 787,CENTRAL,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T22:07:32.030Z,,
Feature,farmacias_smde.157,Point,-68.11755715,-16.49151308,geom,Farmacia Vida y Salud,Av. Tito Yupanqui # 1131,VILLA COPACABANA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SAN ANTONIO,DISTRITO 14,0,,gustavo.nao,2016-06-13T22:07:50.890Z,,
Feature,farmacias_smde.158,,,,geom,Farmacia San Ignacio,Av. Tejada Sorzano # 351,VILLA FATIMA,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.159,,,,geom,Farmacia,Av. 31 de Octubre # 1584,SAN ANTONIO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SAN ANTONIO,DISTRITO 15,,,,,,
Feature,farmacias_smde.160,,,,geom,Farmacia el Zodiaco,Av. Hernando Siles # 5505,OBRAJES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 21,,,,,,
Feature,farmacias_smde.161,Point,-68.14198125,-16.47908521,geom,Farmacia Mariel,Av. Baltazar de Salas # 1132,VINO TINTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 11,0,,gustavo.nao,2016-06-13T22:08:09.410Z,,
Feature,farmacias_smde.162,Point,-68.10490981,-16.50198175,geom,Farmacia Jeannette,C. 12 # 58,PAMPAHASI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SAN ANTONIO,DISTRITO 16,0,,gustavo.nao,2016-06-13T22:08:23.153Z,,
Feature,farmacias_smde.163,,,,geom,Farmacia Santa Lucia,C. José María Asin # 691,VILLA VICTORIA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 8,,,,,,
Feature,farmacias_smde.164,Point,-68.13378742,-16.49326082,geom,Farmacia Isam,Av. Sucre # 930,CENTRAL,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T22:08:39.930Z,,
Feature,farmacias_smde.165,,,,geom,Farmacia Ruiz,Av. Héroes del Pacifico # 1567,EL TEJAR,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 8,,,,,,
Feature,farmacias_smde.166,Point,-68.15184917,-16.50514747,geom,Farmacia Emaus,Av. 9 de Abril # 1066,ALTO CHIJINI,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-13T22:09:05.173Z,,
Feature,farmacias_smde.167,Point,-68.14008942,-16.49527695,geom,Farmacia San Damián,C. Illampu # 703,ROSARIO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,0,,gustavo.nao,2016-06-13T22:09:24.623Z,,
Feature,farmacias_smde.168,,,,geom,Farmacia Pompeya,Av. Saavedra # 2218,MIRAFLORES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 2,,,,,,
Feature,farmacias_smde.169,Point,-68.09094803,-16.54093464,geom,Farmacia Curabitur,Av. Ballivián # 275,CALACOTO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 19,0,,gustavo.nao,2016-06-13T22:09:42.373Z,,
Feature,farmacias_smde.170,Point,-68.11319507,-16.46889187,geom,Venta de Productos Farmacéuticos,C. 2 # 357 Pza. Arturo Borda,VILLA EL CARMEN,Comercio y Servicios,"VENT.P/MENOR N.C.P. PRODUC.FARMAC,MEDIC,COSMET,TOC",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-13T22:11:15.987Z,,
Feature,farmacias_smde.171,,,,geom,Farmacia Megafarma,C. Santa Cruz # 423,ROSARIO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.172,,,,geom,Farmacia Bioenergía,C. Max Paredes # 847,ROSARIO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.173,,,,geom,Terapéutica Boliviana S.A.Terbol S.A.,C. Landaeta # 432,SOPOCACHI,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,COTAHUMA,DISTRITO 3,,,,,,
Feature,farmacias_smde.174,,,,geom,Farmacia Hipermaxi S.A.,Av. Strongest # 100,ACHUMANI,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",SUR,DISTRITO 18,,,,,,
Feature,farmacias_smde.175,,,,geom,Farmacia Viviana,C. Rodríguez # 477,SAN PEDRO BELEN,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 6,,,,,,
Feature,farmacias_smde.176,,,,geom,Corporación Mercantil Sudamericana Ltda,Av. 14 de Septiembre # 5299,OBRAJES,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,SUR,DISTRITO 21,,,,,,
Feature,farmacias_smde.177,Point,-68.12526574,-16.49222312,geom,Allemed S.R.L.,Av. Tejada Sorzano # 1140-B,VILLA FATIMA,Comercio y Servicios,VENT.P/MAYOR DE PRODUC.FARMACEUTICOS Y MEDICINALES,PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-13T22:11:40.660Z,,
